Config,x_s,E,RMSE,DeltaT_max,CR,t_s,N_sw,J_Balanced,J_Comfort,J_Energy
"1.1: $x_h$=0, N-R",0.25,21.187499999999982,4.257118088960807,4.746635756255571,0.2938970588235294,60.0,159,0.5372401863614236,0.5102594307065027,0.5321433867123239
"1.1: $x_h$=0, N-R",0.5,23.26249999999998,3.9160468761711718,9.776374860426408,0.3683578431372549,60.0,49,0.43346556253735435,0.43982949015230455,0.43391700500920416
"1.1: $x_h$=0, N-R",0.75,25.0625,3.729143534089128,12.827308148107463,0.4135473856209151,60.0,31,0.41805100662609407,0.4289063714721727,0.4230369380529285
"1.1: $x_h$=0, N-R",1.0,25.587500000000006,3.52115690064052,17.066143533762762,0.47516911764705877,60.0,17,0.40355501760963197,0.41874949858099453,0.41010156378491525
"1.1: $x_h$=0, N-R",1.25,27.137500000000028,3.4611612021712355,19.783783563342503,0.5109330065359476,60.0,13,0.4035172575993675,0.41919338902584014,0.41339898638548633
"1.1: $x_h$=0, N-R",1.5,28.9625,3.5129272738268797,23.689555834402945,0.5584452614379085,60.0,9,0.40709521212291144,0.42341420400475904,0.4201936981339106
"1.1: $x_h$=0, N-R",1.75,29.46250000000002,3.6382067142903054,26.275657767957497,0.5851560457516339,60.0,7,0.410700855560281,0.42801766849496803,0.42377002833717137
"1.1: $x_h$=0, N-R",2.0,36.025000000000006,4.036283356137888,30.104960446421444,0.6163668300653595,60.0,6,0.4359944708161618,0.45016151774944835,0.4611715156097247
"1.1: $x_h$=0, N-R",2.25,35.71250000000002,4.567178717383371,32.69153470685701,0.6275955882352942,60.0,5,0.44782672633451737,0.4640694816843097,0.46898368730228157
"1.1: $x_h$=0, N-R",2.5,44.2625,5.352426146836456,36.62775413450809,0.6451413398692811,60.0,5,0.487409817671587,0.49944637202644027,0.5231387244201029
"1.1: $x_h$=0, N-R",2.75,37.712500000000006,5.945068520251208,39.329906430633564,0.6549264705882353,60.0,3,0.4856018883432144,0.5049373113947117,0.5027078838171264
"1.1: $x_h$=0, N-R",3.0,45.337500000000006,7.4414185118887,43.38681325722021,0.5813341503267974,60.0,3,0.5489821129711985,0.5694689468262703,0.5715066322779319
"1.1: $x_h$=0, N-R",3.25,50.78750000000001,8.492585318443727,46.05292474022731,0.5294387254901961,60.0,3,0.593304446678811,0.6143907183946523,0.6199870815141626
"1.1: $x_h$=0, N-R",3.5,59.38750000000001,10.005096873925556,49.9340401870853,0.4784019607843137,60.0,3,0.6553720319124157,0.6755987863002515,0.690912713286241
"1.1: $x_h$=0, N-R",3.75,65.21249999999999,10.86380989655916,52.361035999894824,0.44350408496732024,60.0,3,0.6941892275025714,0.7136876199800477,0.7364327194654751
"1.1: $x_h$=0, N-R",4.0,65.75,11.793982834017948,55.708756957758695,0.38267401960784314,60.0,2,0.7273170646019983,0.752461279433645,0.761921751912462
"1.1: $x_h$=0, N-R",4.25,60.849999999999994,12.61059800699579,57.72138277609385,0.33579493464052285,60.0,2,0.7417545459476311,0.7745913290787569,0.758470755296553
"1.1: $x_h$=0, N-R",4.5,57.54999999999998,14.00008004679453,60.44106561266419,0.25891339869281044,60.0,2,0.7756752613259863,0.8170579641539509,0.7741585414695511
