x_h,y_h,x_s,y_s,source,bc,E,RMSE,DeltaT_max,CR,t_s,N_sw,U_spatial,J_Balanced,J_Comfort,J_Energy
0.5,0.5,0.5,0.5,point,L-RNNN,1.5625,5.441008561553276,185.36211401508737,0.06065691784623925,120.0,5,2.2047946732376413,0.4259522194782288,0.4538020725893731,0.36934405656034763
0.5,0.5,1.5,0.5,point,L-RNNN,7.8125,13.866399747184712,370.7115934846137,0.13273660838190396,120.0,1,12.373362984160922,0.42173873721343313,0.472960375738971,0.36884677880497596
0.5,0.5,2.5,0.5,point,L-RNNN,32.1875,46.182556359477545,530.0065386800388,0.10856404385234528,120.0,1,42.03864035025686,0.6184409853225714,0.6591202937676591,0.5954255093244666
0.5,0.5,3.5,0.5,point,L-RNNN,60.0,64.95494815638405,619.0351861238101,0.10754059117402165,120.0,0,57.6426113686931,0.7476530719367335,0.7755470011581467,0.7769648858608215
0.5,0.5,4.5,0.5,point,L-RNNN,60.0,64.95494815638405,619.0351861238101,0.10754059117402165,120.0,0,57.6426113686931,0.7476530719367335,0.7755470011581467,0.7769648858608215
0.5,0.5,0.5,1.5,point,L-RNNN,7.8125,13.866399747184712,370.7115934846137,0.13273660838190396,120.0,1,12.373362984160922,0.42173873721343313,0.472960375738971,0.36884677880497596
0.5,0.5,1.5,1.5,point,L-RNNN,16.5625,26.649559199149206,444.5199022994759,0.11991742991951151,120.0,1,24.375426352044247,0.49954705637770846,0.5480849235394967,0.45550027601522924
0.5,0.5,2.5,1.5,point,L-RNNN,39.0625,53.12908343274165,557.5333044630503,0.10766201776297529,120.0,1,48.078417965952674,0.663085085007514,0.6995597947027153,0.6511559619057085
0.5,0.5,3.5,1.5,point,L-RNNN,60.0,64.95494815638405,619.0351861238101,0.10754059117402165,120.0,0,57.6426113686931,0.7476530719367335,0.7755470011581467,0.7769648858608215
0.5,0.5,4.5,1.5,point,L-RNNN,60.0,64.95494815638405,619.0351861238101,0.10754059117402165,120.0,0,57.6426113686931,0.7476530719367335,0.7755470011581467,0.7769648858608215
0.5,0.5,0.5,2.5,point,L-RNNN,28.4375,41.94084466855702,512.8531532762296,0.10985636969192339,120.0,1,38.271501092210336,0.592133503712242,0.6349512618759712,0.5635241441487465
0.5,0.5,1.5,2.5,point,L-RNNN,37.8125,51.95131951220393,552.8610693979649,0.10774875104079934,120.0,1,47.06837167518683,0.6553139965653594,0.6925749201010468,0.6412912722824569
0.5,0.5,2.5,2.5,point,L-RNNN,57.8125,64.75120146140569,614.4183364314089,0.10754059117402165,120.0,1,57.495758017382435,0.7574353984293619,0.7813485493681117,0.7816608361457674
0.5,0.5,3.5,2.5,point,L-RNNN,60.0,64.95494815638405,619.0351861238101,0.10754059117402165,120.0,0,57.6426113686931,0.7476530719367335,0.7755470011581467,0.7769648858608215
0.5,0.5,4.5,2.5,point,L-RNNN,60.0,64.95494815638405,619.0351861238101,0.10754059117402165,120.0,0,57.6426113686931,0.7476530719367335,0.7755470011581467,0.7769648858608215
0.5,0.5,0.5,3.5,point,L-RNNN,59.0625,64.92864015247562,617.5136792025125,0.10754059117402165,120.0,1,57.62379996320869,0.7616439992175377,0.7846818472506092,0.7887111712719127
0.5,0.5,1.5,3.5,point,L-RNNN,60.0,64.95494815638405,619.0351861238101,0.10754059117402165,120.0,0,57.6426113686931,0.7476530719367335,0.7755470011581467,0.7769648858608215
0.5,0.5,2.5,3.5,point,L-RNNN,60.0,64.95494815638405,619.0351861238101,0.10754059117402165,120.0,0,57.6426113686931,0.7476530719367335,0.7755470011581467,0.7769648858608215
0.5,0.5,0.5,4.5,point,L-RNNN,60.0,64.95494815638405,619.0351861238101,0.10754059117402165,120.0,0,57.6426113686931,0.7476530719367335,0.7755470011581467,0.7769648858608215
0.5,0.5,1.5,4.5,point,L-RNNN,60.0,64.95494815638405,619.0351861238101,0.10754059117402165,120.0,0,57.6426113686931,0.7476530719367335,0.7755470011581467,0.7769648858608215
0.5,0.5,2.5,4.5,point,L-RNNN,60.0,64.95494815638405,619.0351861238101,0.10754059117402165,120.0,0,57.6426113686931,0.7476530719367335,0.7755470011581467,0.7769648858608215
1.5,0.5,0.5,0.5,point,L-RNNN,7.8125,12.460532824602831,368.55107754461363,0.20327244657230087,72.5,1,10.407099162558996,0.34680386587750484,0.3943825923788753,0.2984810465459002
1.5,0.5,1.5,0.5,point,L-RNNN,2.1875,5.363852243195454,185.31289711455995,0.05903934221482099,120.0,7,2.275889541398367,0.4608285890346334,0.47712473124802013,0.40575552545346316
1.5,0.5,2.5,0.5,point,L-RNNN,7.8125,12.460532824602831,368.55107754461363,0.20327244657230087,72.5,1,10.407099162558996,0.34680386587750484,0.3943825923788753,0.2984810465459002
